stanza	start-time	mood
"It is an ancient Mariner,
And he stoppeth one of three.
'By thy long grey beard and glittering eye,
Now wherefore stopp'st thou me?"	0	ghastly
"The Bridegroom's doors are opened wide,
And I am next of kin;
The guests are met, the feast is set:
May'st hear the merry din.'"	7.8	ghastly
"He holds him with his skinny hand,
'There was a ship,' quoth he.
'Hold off! unhand me, grey-beard loon!'
Again his hand dropt he."	14.5	ghastly
"He holds him with his glittering eye&#8212
The Wedding-Guest stood still,
And listens like a three years' child:
The Mariner hath his will."	23	ghastly
"The Wedding-Guest sat on a stone:
He cannot choose but hear;
And thus spake on that ancient man,
The bright-eyed Mariner."	31	ghastly
"The ship was cheered, the harbour cleared,
Merrily did we drop
Below the kirk, below the hill,
Below the lighthouse top."	39	
"The Sun came up upon the left,
Out of the sea came he!
And he shone bright, and on the right
Went down into the sea."	51.8	
"Higher and higher every day,
Till over the mast at noon&#8212'
Did quickly come the storm, and he
Was tyrannous and strong."	60.8	
"He struck with his o'ertaking wings,
And chased us south along. 
With sloping masts and dipping prow,
As who pursued with yell and blow"	73	
"Still treads the shadow of his foe,
And forward bends his head,
The ship drove fast, loud roared the blast,
And southward aye we fled."	82.15	
"And now there came both mist and snow,
And it grew wondrous cold:
And ice, mast-high, came floating by,
As green as emerald."	92.3	
"And through the drifts and snowy clifts
Did send a dismal sheen:
Nor shapes of men nor beasts we ken&#8212
The ice was all between."	103.5	
"And it became apparent that
The ice was all around:
It cracked and growled, and roared and howled,
Like noises in a swound!"	114.2	
"At length did cross an Albatross,
Through the fog it came;
As if it had been a Christian soul,
We hailed it in God's name."	123.2	
"We gave it food it ne'er had ate,
And round and round it flew.
The ice did split with a thunder-fit;
The helmsman steered us through!"	132.8	
"A good south wind sprung up behind;
The Albatross did follow,
And every day, for food or play,
Came to the mariner's hollo!"	142.8	
"In mist or cloud, on mast or shroud,
It perched for evenings nine;
Whiles all the night, through fog-smoke white,
Glimmered the white Moon-shine."	150.6	
"But pierce my soul
&#8212With my cross-bow
I shot the ALBATROSS. "	159.5	
