stanza	start-time	mood
"Alone, I found myself alone,
Alone on a wide wide sea!
And never a saint took pity on
My soul in agony."	0	stagnant
"The many men, so beautiful!
And they all dead did lie:
And a thousand thousand slimy things
Lived on; and so did I."	11.4	stagnant
"I looked upon the rotting sea,
And drew my eyes away;
I looked upon the rotting deck,
And there the dead men lay."	18.4	stagnant
"I looked to heaven, and tried to pray;
But before a prayer had gusht,
A wicked whisper came, and made
My heart as dry as dust."	23.8	stagnant
"I closed my lids, and kept them closed,
And the balls like pulses beat;
For the sky and the sea, and the sea and the sky
Lay dead like a load on my weary eye,
And the dead were at my feet."	30.4	death
"The cold sweat melted from their limbs,
Nor rot nor reek did they:
The look with which they looked on me
Had never passed away."	41	death
"An orphan's curse would drag to hell
A spirit from on high;
But oh! more horrible than that
Is the curse in a dead man's eye!
Seven days, seven nights, I saw that curse,
And yet I could not die."	47	death
"The moving Moon went up the sky,
And no where did abide:
Softly she was going up,
And a star or two beside&#8212"	58.8	ominous
"Her beams bemocked the sultry main,
Like April showers spread;
But where the ship's huge shadow lay,
The charmed water burnt always
A still and awful red."	66.5	ominous
"Beyond the shadow of the ship,
I watched the water-snakes:
They moved in tracks of shining white,
And when they reared, the elfish light
Fell off in hoary flakes."	76.3	party-ominous
"Within the shadow of the ship
I watched their rich attire:
Blue, glossy green, and velvet black,
They coiled and swam; and every track
Was a flash of golden fire."	84.3	party
"O happy living things! no tongue
Their beauty might declare:
A spring of love gushed from my heart,
And I blessed them unaware:
Sure my kind saint took pity on me,
And I blessed them unaware."	92.6	party
"The self-same moment I could pray;
And from my neck so free
The Albatross fell off, and sank
Like lead into the sea."	102	hopeful
